City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,general levalle,-34.0147,-63.9241,15.35,90,100,0.59,AR,1714952420
1,puerto natales,-51.7236,-72.4875,-1.53,86,16,1.63,CL,1714952424
2,invercargill,-46.4,168.35,7.79,76,80,6.26,NZ,1714952424
3,olonkinbyen,70.9221,-8.7187,1.05,92,100,12.41,SJ,1714952424
4,avarua,-21.2078,-159.775,27.03,94,100,6.17,CK,1714952169
5,grytviken,-54.2811,-36.5092,2.42,88,64,4.32,GS,1714952424
6,lerwick,60.1545,-1.1494,9.0,96,100,2.41,GB,1714952424
7,hannibal,39.7084,-91.3585,20.53,52,40,0.0,US,1714952424
8,edinburgh of the seven seas,-37.0676,-12.3116,12.93,65,57,13.67,SH,1714952424
9,kintampo,8.0563,-1.7306,24.88,90,87,1.93,GH,1714952425
10,parkes,-33.1333,148.1833,18.53,52,4,6.66,AU,1714952425
11,sinabang,2.4803,96.3801,27.12,86,86,0.69,ID,1714952425
12,ribeira grande,38.5167,-28.7,18.21,96,100,9.39,PT,1714952425
13,ushuaia,-54.8,-68.3,1.81,93,100,8.23,AR,1714952425
14,yellowknife,62.456,-114.3525,13.56,54,40,4.63,CA,1714952425
15,kailaras,26.3167,77.6167,29.31,20,0,3.25,IN,1714952425
16,port-aux-francais,-49.35,70.2167,5.36,77,79,10.67,TF,1714952425
17,bredasdorp,-34.5322,20.0403,12.81,67,90,1.69,ZA,1714952425
18,isafjordur,66.0755,-23.124,1.17,76,39,4.77,IS,1714952426
19,tres arroyos,-38.3739,-60.2798,12.1,54,100,2.45,AR,1714952426
20,happy valley-goose bay,53.3168,-60.3315,16.17,44,40,3.6,CA,1714952426
21,susuman,62.7833,148.1667,-2.79,86,78,0.89,RU,1714952426
22,san roque,36.2107,-5.3842,18.46,77,100,8.23,ES,1714952426
23,jwaneng,-24.6004,24.7303,15.61,36,0,2.71,BW,1714952426
24,carnarvon,-24.8667,113.6333,20.18,48,0,7.49,AU,1714952426
25,new norfolk,-42.7826,147.0587,13.84,62,84,1.08,AU,1714952427
26,nar'yan-mar,67.6713,53.087,-7.16,88,94,1.79,RU,1714952427
27,lubao,14.9167,120.55,29.84,58,37,2.79,PH,1714952427
28,canutama,-6.5339,-64.3831,25.07,94,45,0.25,BR,1714952427
